county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
1,1,ALAMANCE,1,ALAMANCE COUNTY OFFICE ANNEX BUILDING (AUDITORIUM),201 W ELM ST,GRAHAM,27253,36.069644,-79.402369
1,2,ALAMANCE,1,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,BURLINGTON,27215,36.077092,-79.487709
1,3,ALAMANCE,1,MEBANE ARTS AND COMMUNITY CENTER,622 CORREGIDOR ST,MEBANE,27302,36.085725,-79.284137
2,4,ALEXANDER,1,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,TAYLORSVILLE,28681,35.919876,-81.180616
2,5,ALEXANDER,1,BETHLEHEM COMMUNITY FIRE/RESCUE,7373 NC HWY 127,TAYLORSVILLE,28681,35.843571,-81.308952
2,6,ALEXANDER,1,FMR ENERGY UNITED BUILDING,431 RURITAN PARK RD,STONY POINT,28678,35.862112,-81.045815
3,7,ALLEGHANY,0,ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE,348 S MAIN ST # 10,SPARTA,28675,36.501368,-81.11705
4,8,ANSON,0,ANSON COUNTY BOARD OF ELECTIONS OFFICE,402 MORVEN RD,WADESBORO,28170,34.962256,-80.075886
5,9,ASHE,1,ASHE COUNTY BOARD OF ELECTIONS OFFICE,150 GOVERNMENT CIR # 2100,JEFFERSON,28640,36.418463,-81.459079
6,10,AVERY,0,AVERY COUNTY BOARD OF ELECTIONS OFFICE,200 MONTEZUMA ST # 307,NEWLAND,28657,36.086993,-81.926462
7,11,BEAUFORT,0,AURORA - AURORA COMMUNITY CENTER,442 3RD ST,AURORA,27806,35.306313,-76.785525
7,12,BEAUFORT,0,BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE,1308 HIGHLAND DR # 104,WASHINGTON,27889,35.549888,-77.036066
7,13,BEAUFORT,0,BELHAVEN - JOHN A WILKINSON CENTER,144 W MAIN ST,BELHAVEN,27810,35.541023,-76.623038
7,14,BEAUFORT,0,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33,CHOCOWINITY,27817,35.508178,-77.093242
8,15,BERTIE,1,BERTIE COUNTY BOARD OF ELECTIONS OFFICE,210 W WATSON ST,WINDSOR,27983,36.000639,-76.953
9,16,BLADEN,1,BLADEN COUNTY PUBLIC LIBRARY,111 N CYPRESS ST,ELIZABETHTOWN,28337,34.629467,-78.604139
10,17,BRUNSWICK,1,BRUNSWICK COUNTY BOARD OF ELECTIONS OFFICE,75 STAMP ACT DR NE # H,BOLIVIA,28422,34.057402,-78.164504
